,overview,Action,Romance,Science Fiction,Thriller,War,Western
0,family wedding reignite ancient feud nextdoor neighbor fishing buddy sultry italian divorcée open restaurant local bait shop alarm local worry scare fish interested seafood cook hot time,0.0,1.0,0.0,1.0,1.0,0.0
1,cheat mistreat step woman hold breath wait elusive good man break string lessthanstellar lover friend confidant talk determine find good way breathe,0.0,0.0,0.0,0.0,1.0,0.0
2,obsessive master thief lead topnotch crew various insane heist throughout los unstable detective pursue without rest man recognize respect ability dedication though aware catandmouse game may end violence,0.0,1.0,1.0,1.0,0.0,0.0
3,duckling undergone remarkable change harbor feeling crush carefree playboy businessfocused brother something say,1.0,0.0,0.0,0.0,1.0,0.0
4,mischievous young boy witness murder becomes friends boy future family choose honor friendship honor oath town alcoholic accuse murder go several adventure try retrieve evidence,0.0,0.0,1.0,0.0,0.0,0.0
5,international action superstar team power tensionpacked suspense thriller set backdrop stanley cup gamevan portray father whose daughter take championship hockey game captor demand billion dollar game end set plan motion rescue daughter abort impending explosion final buzzer,0.0,1.0,1.0,0.0,0.0,1.0
6,bond unmask mysterious head janus prevent leader utilize goldeneye weapon system inflict devastate revenge britain,0.0,0.0,1.0,1.0,0.0,0.0
7,us president one world powerful men anything want covet washington lobbyist shepherd attempt court spark wild rumor decimate approval rating,0.0,0.0,0.0,0.0,0.0,1.0
8,slave quest recover three portion treasure map final portion hold murderous uncle crew skeptical leadership ability complete quest mutiny make difficult effort british crown end pirate raid,1.0,0.0,1.0,0.0,0.0,0.0
9,dy leave second wife daughter poor rule inheritance two daughter titular opposite,0.0,0.0,1.0,0.0,0.0,0.0
10,vengeful new transit cop decide steal trainload subway fare fellow cop try protect,0.0,0.0,0.0,0.0,0.0,1.0
11,chili palmer miami mobster get send bos psychopathic bone collect bad debt hollywood producer specialize cheesy horror film chili meet lead lady romantic spark fly pitch life story movie idea chili learn mobster hollywood producer different,0.0,0.0,0.0,0.0,0.0,1.0
12,agoraphobic psychologist female detective work take serial killer copy serial killer past,0.0,0.0,1.0,0.0,0.0,0.0
13,arrives funeral kill prominent mobster witness rival hired gun complete job result horrify murder innocent bystander decide take one last job return civilian life find way world contract kill grows dangerous rath fall female target become marked man,0.0,0.0,1.0,0.0,0.0,1.0
14,harass classmate accept shock appearance shy young man know powder struggle fit cruel taunt stop display mysterious power allow incredible thing phenomenon change life around way could imagine,1.0,0.0,0.0,1.0,0.0,0.0
15,alcoholic hollywood screenwriter lose everything drinking arrive vega drink death meet form uneasy friendship noninterference pact prostitute,0.0,1.0,0.0,0.0,1.0,1.0
